type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
read,997352,26.10,101186.80,1011.87,-0.17,0,-0.17,,,
read,998368,26.08,101188.92,1011.89,-0.35,0,-0.35,,,
read,999387,26.09,101189.27,1011.89,-0.38,0,-0.38,,,
read,1000407,26.09,101189.37,1011.89,-0.39,0,-0.39,,,
read,1001421,26.10,101189.30,1011.89,-0.38,0,-0.38,,,
read,1002423,26.10,101189.59,1011.90,-0.41,0,-0.41,,,
read,1003425,26.10,101189.40,1011.89,-0.39,0,-0.39,,,
read,1004432,26.11,101189.20,1011.89,-0.37,0,-0.37,,,
read,1005432,26.11,101189.45,1011.89,-0.39,0,-0.39,,,
read,1006436,26.11,101189.59,1011.90,-0.41,0,-0.41,,,
read,1007445,26.11,101190.17,1011.90,-0.45,0,-0.45,,,
read,1008457,26.12,101190.42,1011.90,-0.47,0,-0.47,,,
read,1009461,26.12,101190.18,1011.90,-0.45,0,-0.45,,,
read,1010471,26.12,101189.91,1011.90,-0.43,0,-0.43,,,
read,1011488,26.12,101189.89,1011.90,-0.43,0,-0.43,,,
read,1012485,26.12,101190.48,1011.90,-0.48,0,-0.48,,,
read,1013506,26.13,101190.83,1011.91,-0.51,0,-0.51,,,
read,1014507,26.13,101190.85,1011.91,-0.51,0,-0.51,,,
read,1015526,26.13,101190.13,1011.90,-0.45,0,-0.45,,,
read,1016545,26.13,101189.66,1011.90,-0.41,0,-0.41,,,
read,1017549,26.13,101189.60,1011.90,-0.41,0,-0.41,,,
read,1018557,26.14,101189.93,1011.90,-0.43,0,-0.43,,,
read,1019560,26.14,101189.89,1011.90,-0.43,0,-0.43,,,
read,1020566,26.14,101190.18,1011.90,-0.45,0,-0.45,,,
read,1021576,26.14,101190.39,1011.90,-0.47,0,-0.47,,,
read,1022587,26.14,101190.34,1011.90,-0.47,0,-0.47,,,
read,1023592,26.14,101190.58,1011.91,-0.49,0,-0.49,,,
read,1024601,26.15,101190.73,1011.91,-0.50,0,-0.50,,,
read,1025616,26.15,101190.55,1011.91,-0.49,0,-0.49,,,
read,1026633,26.15,101190.93,1011.91,-0.52,0,-0.52,,,
read,1027637,26.15,101190.77,1011.91,-0.50,0,-0.50,,,
read,1028635,26.15,101191.14,1011.91,-0.53,0,-0.53,,,
read,1029641,26.16,101191.22,1011.91,-0.54,0,-0.54,,,
read,1030649,26.16,101191.38,1011.91,-0.55,0,-0.55,,,
read,1031666,26.16,101190.89,1011.91,-0.51,0,-0.51,,,
read,1032671,26.16,101190.38,1011.90,-0.47,0,-0.47,,,
read,1033679,26.16,101190.14,1011.90,-0.45,0,-0.45,,,
read,1034691,26.17,101190.44,1011.90,-0.48,0,-0.48,,,
read,1035695,26.17,101190.48,1011.90,-0.48,0,-0.48,,,
read,1036703,26.17,101190.27,1011.90,-0.46,0,-0.46,,,
read,1037715,26.17,101190.04,1011.90,-0.44,0,-0.44,,,
read,1038728,26.17,101189.61,1011.90,-0.41,0,-0.41,,,
read,1039739,26.17,101189.83,1011.90,-0.43,0,-0.43,,,
read,1040749,26.18,101189.87,1011.90,-0.43,0,-0.43,,,
read,1041767,26.18,101190.40,1011.90,-0.47,0,-0.47,,,
read,1042786,26.18,101190.16,1011.90,-0.45,0,-0.45,,,
read,1043799,26.18,101189.56,1011.90,-0.40,0,-0.40,,,
read,1044787,26.18,101189.60,1011.90,-0.41,0,-0.41,,,
read,1045796,26.19,101189.61,1011.90,-0.41,0,-0.41,,,
read,1046802,26.19,101189.67,1011.90,-0.41,0,-0.41,,,
read,1047814,26.19,101189.45,1011.89,-0.39,0,-0.39,,,
read,1048826,26.19,101189.70,1011.90,-0.42,0,-0.42,,,
read,1049830,26.19,101189.95,1011.90,-0.44,0,-0.44,,,
read,1050843,26.19,101189.71,1011.90,-0.42,0,-0.42,,,
read,1051860,26.20,101189.73,1011.90,-0.42,0,-0.42,,,
read,1052877,26.20,101189.73,1011.90,-0.42,0,-0.42,,,
read,1053893,26.20,101189.70,1011.90,-0.42,0,-0.42,,,
read,1054910,26.20,101189.73,1011.90,-0.42,0,-0.42,,,
read,1055911,26.20,101189.72,1011.90,-0.42,0,-0.42,,,
read,1056915,26.21,101189.55,1011.90,-0.40,0,-0.40,,,
read,1057935,26.21,101189.87,1011.90,-0.43,0,-0.43,,,
read,1058955,26.21,101190.19,1011.90,-0.46,0,-0.46,,,
read,1059958,26.21,101189.86,1011.90,-0.43,0,-0.43,,,
read,1060958,26.21,101190.20,1011.90,-0.46,0,-0.46,,,
read,1061971,26.22,101190.42,1011.90,-0.47,0,-0.47,,,
read,1062986,26.22,101190.39,1011.90,-0.47,0,-0.47,,,
read,1064000,26.22,101190.37,1011.90,-0.47,0,-0.47,,,
read,1065010,26.22,101190.24,1011.90,-0.46,0,-0.46,,,
test,1065757,26.23,101189.88,1011.90,-0.43,0,-0.43,0,1,
read,1066340,26.26,101188.56,1011.89,-0.32,0,-0.32,,,
read,1067359,26.25,101189.33,1011.89,-0.38,0,-0.38,,,
read,1068376,26.24,101189.27,1011.89,-0.38,0,-0.38,,,
read,1069395,26.23,101189.65,1011.90,-0.41,0,-0.41,,,
read,1070398,26.23,101189.52,1011.90,-0.40,0,-0.40,,,
read,1071408,26.24,101189.73,1011.90,-0.42,0,-0.42,,,
read,1072411,26.24,101189.81,1011.90,-0.42,0,-0.42,,,
read,1073414,26.24,101190.18,1011.90,-0.45,0,-0.45,,,
read,1074420,26.24,101189.27,1011.89,-0.38,0,-0.38,,,
read,1075430,26.24,101188.73,1011.89,-0.33,0,-0.33,,,
read,1076428,26.24,101189.10,1011.89,-0.37,0,-0.37,,,
read,1077442,26.24,101188.97,1011.89,-0.35,0,-0.35,,,
read,1078453,26.24,101188.67,1011.89,-0.33,0,-0.33,,,
read,1079471,26.24,101188.89,1011.89,-0.35,0,-0.35,,,
read,1080473,26.25,101189.03,1011.89,-0.36,0,-0.36,,,
read,1081475,26.25,101189.09,1011.89,-0.36,0,-0.36,,,
read,1082493,26.25,101189.14,1011.89,-0.37,0,-0.37,,,
read,1083497,26.25,101189.29,1011.89,-0.38,0,-0.38,,,
