wall_time,ros_time_sec,run_id,elapsed_sec,event_type,source,label,data
2026-06-19_14-02-35-584532,1781870555.584572,20260619_140235,0.002,manual_mark,operator,reseting_start_position,
2026-06-19_14-03-17-680316,1781870597.680395,20260619_140235,42.098,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_14-03-17-778063,1781870597.778163,20260619_140235,42.196,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-19_14-03-17-780025,1781870597.780044,20260619_140317,0.000,run_start,logger,command_trolley_ready,
2026-06-19_14-03-17-781040,1781870597.781076,20260619_140317,0.001,command,trolley_command,trolley_ready,trolley_ready
2026-06-19_14-03-51-725611,1781870631.725704,20260619_140317,33.946,run_end,logger,auto_closed_before_command_trolley_ready,
2026-06-19_14-03-51-727492,1781870631.727512,20260619_140351,0.000,run_start,logger,command_trolley_ready,
2026-06-19_14-03-51-728474,1781870631.728506,20260619_140351,0.001,command,trolley_command,trolley_ready,trolley_ready
2026-06-19_14-03-51-729450,1781870631.729481,20260619_140351,0.002,dropzone_status,dropzone,approach_goal_sent,"approach_goal_sent. Inspect the robot pose, then approve side alignment with: ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'side_align'}"""
2026-06-19_14-04-07-297811,1781870647.297899,20260619_140351,15.571,command,trolley_command,side_align,side_align
2026-06-19_14-04-07-304759,1781870647.304834,20260619_140351,15.577,dropzone_status,dropzone,status,side_aligning via side_align_left. Waiting for side_align_left_done.
2026-06-19_14-04-07-306002,1781870647.306050,20260619_140351,15.579,physical_status,physical_alignment,status,side_align_left_started
2026-06-19_14-04-13-471241,1781870653.471332,20260619_140351,21.744,physical_status,physical_alignment,side_align_complete,"side_align_left_done | final camera=left ids=[17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3564 target_y=+0.2735 center_x=+0.3584 center_y=+0.5793 yaw=-178.91deg error_x=+0.0004 yaw_error=+1.09deg tolerance_x=0.0060 tolerance_yaw=2.00deg"
2026-06-19_14-04-13-477237,1781870653.477313,20260619_140351,21.750,dropzone_status,dropzone,side_align_complete,"side_align_complete: side_align_left_done | final camera=left ids=[17, 18, 19, 20] target_pair=[18, 19] target_x=+0.3564 target_y=+0.2735 center_x=+0.3584 center_y=+0.5793 yaw=-178.91deg error_x=+0.0004 yaw_error=+1.09deg tolerance_x=0.0060 tolerance_yaw=2.00deg. Optional: check trolley type with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'check_trolley_type'}"" or approve straight drive with ros2 topic pub --once /trolley_command std_msgs/msg/String ""{data: 'drive_under'}"""
2026-06-19_14-04-15-271129,1781870655.271208,20260619_140351,23.544,yolo_detection,yolo,laundry_trolley,"{""classes"": [""laundry_trolley""]}"
2026-06-19_14-04-23-559743,1781870663.559825,20260619_140351,31.832,command,trolley_command,check_trolley_type,check_trolley_type
2026-06-19_14-04-23-577009,1781870663.577104,20260619_140351,31.850,dropzone_status,dropzone,trolley_type_checked,trolley_type_checked: laundry_trolley via live_yolov8_topic; remembered target=laundry_dropoff. Next command: drive_under.
2026-06-19_14-04-38-864852,1781870678.864935,20260619_140351,47.138,manual_mark,operator,object_detection_correct,
